provider_name,address,zip,website,phone,state,county,level,mental_health,meals,transportation,childcare_family,healthcare,delivery,financial_aid,legal,employment,housing_utilities,directory,notes
Kentucky Low Income Home Energy Assistance Program (LIHEAP),,,https://chfs.ky.gov/agencies/dcbs/dfs/pdb/Pages/liheap.aspx,,Kentucky,,State,N,N,N,N,N,N,N,N,N,Y,N,
Kentucky Coronavirus Info Site,,,https://govstatus.egov.com/kycovid19,,Kentucky,,State,N,N,N,N,Y,N,N,N,N,N,N,
Center for Women and Families Bullitt-KY,,,https://www.thecenteronline.org/,,Kentucky,Bullitt,County,N,N,N,Y,N,N,N,N,N,N,N,
Center for Women and Families Henry-KY,,,https://www.thecenteronline.org/,,Kentucky,Henry,County,N,N,N,Y,N,N,N,N,N,N,N,
Center for Women and Families Jefferson-KY,,,https://www.thecenteronline.org/,,Kentucky,Jefferson,County,N,N,N,Y,N,N,N,N,N,N,N,
Center for Women and Families Oldham-KY,,,https://www.thecenteronline.org/,,Kentucky,Oldham,County,N,N,N,Y,N,N,N,N,N,N,N,
Center for Women and Families Shelby-KY,,,https://www.thecenteronline.org/,,Kentucky,Shelby,County,N,N,N,Y,N,N,N,N,N,N,N,
Center for Women and Families Spencer-KY,,,https://www.thecenteronline.org/,,Kentucky,Spencer,County,N,N,N,Y,N,N,N,N,N,N,N,
Center for Women and Families Trimble-KY,,,https://www.thecenteronline.org/,,Kentucky,Trimble,County,N,N,N,Y,N,N,N,N,N,N,N,
Senior Farmers Market Nutrition Program,,,https://www.fns.usda.gov/sfmnp/senior-farmers-market-nutrition-program,,,,National,N,Y,N,N,N,N,N,N,N,N,N,
Vets4Warriors ,,,https://www.vets4warriors.com/,855-838-8255,,,National,Y,N,N,N,N,N,N,N,N,N,N,
Robley Rex VAMC,,,https://www.louisville.va.gov/,(502) 287-4000,,,National,Y,N,Y,N,Y,N,N,N,Y,N,N,
CVS Pharmacies,,,https://www.cvs.com/,,,,National,N,N,N,N,Y,Y,N,N,N,N,N,
National Resource Directory,,,https://nrd.gov/Housing,,,,National,N,N,N,N,N,N,N,N,N,Y,Y,
VA National Hotline for Homeless Veterans ,,,,(877) 424-3838,,,National,Y,Y,Y,N,Y,N,Y,N,Y,Y,N,
USBG National Charity ,,,https://www.usbgfoundation.org/,855-655-8724,,,National,N,N,N,N,N,N,Y,N,N,N,N,
HUD Housing assistance,,,https://www.hud.com/,,,,National,N,N,N,N,N,N,N,N,N,Y,N,
Helping Americans Find Help,,,helpingamericansfindhelp.org,,,,National,N,N,N,N,N,N,N,N,N,N,Y,
National Coalition for Homeless Veterans ,,,http://www.nchv.org/,,,,National,N,N,N,N,N,N,N,N,N,Y,N,
Social Security Office,,,https://www.ssa.gov/,800-772-1213,,,National,N,N,N,N,N,N,Y,N,N,N,N,
United Way,,,https://www.unitedway.org/local/united-states/#%20or%20Call/Dial%202-1-1,,,,National,N,N,N,N,N,N,N,N,N,N,Y,
PenFed Foundation (Suspended funds as of March 30),,,https://penfedfoundation.org/apply-for-assistance/coronavirus-emergency-financial-assistance/,,,,National,N,N,N,N,N,N,Y,N,N,N,N,
Medicare,,,https://www.medicare.gov/,,,,National,Y,N,N,N,Y,N,N,N,N,N,N,
Medicaid,,,https://www.medicaid.gov/,,,,National,Y,N,N,N,Y,N,N,N,N,N,N,
AIDS Hotline ,,,,(800) 227-2345,,,National,N,N,N,N,Y,N,N,N,N,N,N,
ATT,,,http://about.att.com/pages/COVID-19.html,800-288-2020,,,National,N,N,N,N,N,N,N,N,N,Y,N,
Comcast Internet Essentials,,,https://www.internetessentials.com/covid19,,,,National,N,N,N,N,N,N,N,N,N,Y,N,
American Cancer Society,,,https://www.cancer.org/about-us/what-we-do/coronavirus-covid-19-and-cancer.html, (800) 227-2345,,,National,N,N,N,N,Y,N,N,N,N,N,N,
Verizon ,,,https://www.verizon.com/about/news/our-response-coronavirus, (800) 922-0204,,,National,N,N,N,N,N,N,N,N,N,Y,N,
Sprint,,,https://newsroom.sprint.com/covid-19-updates-sprint-responds.htm, 1 (888) 211-4727,,,National,N,N,N,N,N,N,N,N,N,Y,N,
Tmobile ,,,https://www.t-mobile.com/brand/ceo-update-covid-19,1-800-866-2453,,,National,N,N,N,N,N,N,N,N,N,Y,N,
Natl. Call Center for Homeless Veterans                           ,,,https://www.va.gov/homeless/nationalcallcenter.asp,(877)424-3838,,,National,Y,N,N,N,Y,N,N,N,Y,N,N,
US Dept of Housing-FHA Loans                ,,,,(800) 225-5342 ,,,National,N,N,N,N,N,N,N,N,N,Y,N,
 SAMHSA Homelessness Resource Center,,,https://www.samhsa.gov/homelessness-programs-resources,,,,National,N,N,N,N,N,N,N,N,N,Y,N,
,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,, ,,, ,,
,,,,,,,,,,,,,, ,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
